Date/Time (UTC)	Latitude	Longitude	Flag for data source
2019-09-20T17:30:00	69.6795466	18.9966543	2
2019-09-20T17:30:01	69.6795466	18.9966543	2
2019-09-20T17:30:02	69.6795466	18.9966543	2
2019-09-20T17:30:03	69.6795466	18.9966542	2
2019-09-20T17:30:04	69.6795466	18.9966542	2
2019-09-20T17:30:05	69.6795466	18.9966542	2
2019-09-20T17:30:06	69.6795466	18.9966541	2
2019-09-20T17:30:07	69.6795466	18.9966541	2
2019-09-20T17:30:08	69.6795466	18.9966541	2
2019-09-20T17:30:09	69.6795466	18.9966542	2
2019-09-20T17:30:10	69.6795466	18.9966542	2
2019-09-20T17:30:11	69.6795466	18.9966542	2
2019-09-20T17:30:12	69.6795466	18.9966542	2
2019-09-20T17:30:13	69.6795466	18.9966541	2
2019-09-20T17:30:14	69.6795466	18.9966541	2
2019-09-20T17:30:15	69.6795466	18.9966541	2
2019-09-20T17:30:16	69.6795466	18.9966541	2
2019-09-20T17:30:17	69.6795466	18.9966541	2
2019-09-20T17:30:18	69.6795466	18.9966542	2
2019-09-20T17:30:19	69.6795466	18.9966542	2
2019-09-20T17:30:20	69.6795466	18.9966542	2
2019-09-20T17:30:21	69.6795466	18.9966542	2
2019-09-20T17:30:22	69.6795466	18.9966542	2
2019-09-20T17:30:23	69.6795466	18.9966542	2
2019-09-20T17:30:24	69.6795466	18.9966542	2
2019-09-20T17:30:25	69.6795466	18.9966542	2
2019-09-20T17:30:26	69.6795466	18.9966542	2
2019-09-20T17:30:27	69.6795466	18.9966542	2
2019-09-20T17:30:28	69.6795466	18.9966542	2
2019-09-20T17:30:29	69.6795466	18.9966542	2
2019-09-20T17:30:30	69.6795466	18.9966542	2
2019-09-20T17:30:31	69.6795466	18.9966542	2
2019-09-20T17:30:32	69.6795466	18.9966542	2
2019-09-20T17:30:33	69.6795466	18.9966542	2
2019-09-20T17:30:34	69.6795466	18.9966542	2
2019-09-20T17:30:35	69.6795466	18.9966541	2
2019-09-20T17:30:36	69.6795466	18.9966541	2
